"Trendler","Arama hacmi","Başlangıç","Sona erdi","Trend dökümü","Keşfet bağlantısı"
"raif dinçkök","200+","28 Temmuz 2025 15:00:00 UTC+3","28 Temmuz 2025 19:10:00 UTC+3","raif dinçkök","https://trends.google.com/trends/explore?q=raif%20din%C3%A7k%C3%B6k&geo=TR&hl=tr"
"rodrygo","500+","28 Temmuz 2025 01:10:00 UTC+3","28 Temmuz 2025 09:10:00 UTC+3","rodrygo","https://trends.google.com/trends/explore?q=rodrygo&geo=TR&hl=tr"
"tom hanks","2 B+","27 Temmuz 2025 23:10:00 UTC+3","28 Temmuz 2025 00:30:00 UTC+3","tom hanks","https://trends.google.com/trends/explore?q=tom%20hanks&geo=TR&hl=tr"
"next","500+","28 Temmuz 2025 13:50:00 UTC+3","28 Temmuz 2025 15:10:00 UTC+3","next,t","https://trends.google.com/trends/explore?q=next&geo=TR&hl=tr"
"kaan ayhan","200+","28 Temmuz 2025 18:30:00 UTC+3","28 Temmuz 2025 19:10:00 UTC+3","kaan ayhan","https://trends.google.com/trends/explore?q=kaan%20ayhan&geo=TR&hl=tr"
"mehmet şimşek","1 B+","28 Temmuz 2025 00:00:00 UTC+3","28 Temmuz 2025 02:50:00 UTC+3","mehmet şimşek","https://trends.google.com/trends/explore?q=mehmet%20%C5%9Fim%C5%9Fek&geo=TR&hl=tr"
"aselsan hisse","1 B+","28 Temmuz 2025 10:40:00 UTC+3","28 Temmuz 2025 11:50:00 UTC+3","aselsan hisse","https://trends.google.com/trends/explore?q=aselsan%20hisse&geo=TR&hl=tr"
"son dakika haberleri","2 B+","28 Temmuz 2025 08:30:00 UTC+3","28 Temmuz 2025 09:20:00 UTC+3","son dakika haberleri,bursa orhaneli,olay gazetesi,bursa hakimiyet,harmancık yangın","https://trends.google.com/trends/explore?q=son%20dakika%20haberleri&geo=TR&hl=tr"
"zhegrova","100+","28 Temmuz 2025 20:00:00 UTC+3","28 Temmuz 2025 20:30:00 UTC+3","zhegrova","https://trends.google.com/trends/explore?q=zhegrova&geo=TR&hl=tr"
"enciso","200+","28 Temmuz 2025 13:20:00 UTC+3","28 Temmuz 2025 14:40:00 UTC+3","enciso","https://trends.google.com/trends/explore?q=enciso&geo=TR&hl=tr"
"elliot","500+","28 Temmuz 2025 01:40:00 UTC+3","28 Temmuz 2025 04:00:00 UTC+3","elliot","https://trends.google.com/trends/explore?q=elliot&geo=TR&hl=tr"
"şans topu çekilişi","500+","27 Temmuz 2025 23:50:00 UTC+3","28 Temmuz 2025 10:30:00 UTC+3","şans topu çekilişi,sans topu sonuclari","https://trends.google.com/trends/explore?q=%C5%9Fans%20topu%20%C3%A7ekili%C5%9Fi&geo=TR&hl=tr"
"sancho","500+","28 Temmuz 2025 01:40:00 UTC+3","28 Temmuz 2025 04:40:00 UTC+3","sancho","https://trends.google.com/trends/explore?q=sancho&geo=TR&hl=tr"
"robert de niro","1 B+","27 Temmuz 2025 23:20:00 UTC+3","28 Temmuz 2025 00:30:00 UTC+3","robert de niro","https://trends.google.com/trends/explore?q=robert%20de%20niro&geo=TR&hl=tr"
"transfermarkt","1 B+","28 Temmuz 2025 01:50:00 UTC+3","28 Temmuz 2025 04:20:00 UTC+3","transfermarkt","https://trends.google.com/trends/explore?q=transfermarkt&geo=TR&hl=tr"
"justin timberlake","200+","28 Temmuz 2025 16:50:00 UTC+3","28 Temmuz 2025 17:50:00 UTC+3","justin timberlake","https://trends.google.com/trends/explore?q=justin%20timberlake&geo=TR&hl=tr"
"mane","500+","28 Temmuz 2025 01:10:00 UTC+3","28 Temmuz 2025 03:50:00 UTC+3","mane","https://trends.google.com/trends/explore?q=mane&geo=TR&hl=tr"
